L5;Estació RubÍ+D;06:41,07:03,07:25,07:50,08:14,08:38,09:02,09:26,09:50,10:14,10:38,11:02,11:26,11:50,12:14,12:38,13:02,13:26,13:50,14:14,14:38,15:02,15:26,15:50,16:14,16:38,17:02,17:26,17:50,18:14,18:38,19:02,19:26,19:49,20:11,20:33,20:55,21:17,21:37
L5;Joan Puig;
L5;Servet;
L5;Doctor Ferran;
L5;Països Catalans;06:43,07:05,07:27,07:52,08:16,08:40,09:04,09:28,09:52,10:16,10:40,11:04,11:28,11:52,12:16,12:40,13:04,13:28,13:52,14:16,14:40,15:04,15:28,15:52,16:16,16:40,17:04,17:28,17:52,18:16,18:40,19:04,19:28,19:51,20:13,20:35,20:57,21:19,21:39
L5;Antoni Sedó;
L5;Anton de Borja;
L5;25 de Setembre;
L5;Sant Cugat;
L5;Cervantes;
L5;Mercat;
L5;Magí Ramentol;
L5;Biblioteca;
L5;Plana de Can Bertran;
L5;Lourdes;
L5;Ca nOriol;
L5;Segòvia;
L5;Mallorca;
L5;Font del Ferro;
L5;El Ferrol;
L5;Els Nius;
L5;Olimpíades;
L5;Can Rosés;07:03,07:25,07:48,08:13,08:37,09:01,09:25,09:49,10:13,10:37,11:01,11:25,11:49,12:13,12:37,13:01,13:25,13:49,14:13,14:37,15:01,15:25,15:49,16:13,16:37,17:01,17:25,17:49,18:13,18:37,19:01,19:25,19:48,20:11,20:33,20:55,21:17,21:39,21:59
L5;Can Rosés;06:45,07:07,07:29,07:53,08:17,08:41,09:05,09:29,09:53,10:17,10:41,11:05,11:29,11:53,12:17,12:41,13:05,13:29,13:53,14:17,14:41,15:05,15:29,15:53,16:17,16:41,17:05,17:29,17:53,18:17,18:41,19:05,19:29,19:51,20:13,20:35,20:57,21:19,21:41,21:59
L5;Terranova;
L5;Sevilla;
L5;Primer de Maig;
L5;La Serreta;
L5;Sabadell;
L5;Orso;
L5;Santa Eulàlia;
L5;Zamenhoff;
L5;Sardana;
L5;Pau Clarís;
L5;Cadmo;
L5;Bullidor;
L5;Sant Joan;
L5;Espoz i Mina;
L5;Estació RubÍ+D;07:01,07:23,07:46,08:10,08:34,08:58,09:22,09:46,10:10,10:34,10:58,11:22,11:46,12:10,12:34,12:58,13:22,13:46,14:10,14:34,14:58,15:22,15:46,16:10,16:34,16:58,17:22,17:46,18:10,18:34,18:58,19:22,19:45,20:07,20:29,20:51,21:13,21:35,21:57,22:15
